m/s2;m/s2;1
m/s2;grav;0,1019716213

grav;grav;1
grav;m/s2;9,80665

km/s;km/s;1
km/s;m/s;1000
km/s;km/h;3600

m/s;m/s;1
m/s;km/s;0,001
m/s;km/h;3,6

km/h;km/h;1
km/h;km/s;0,000278
km/h;m/s;0,28

h;h;1
h;min;60
h;s;3600

min;min;1
min;h;0,0166666667
min;s;60

s;s;1
s;h;0,0002777778
s;min;0,0166666667

km;km;1
km;m;1000
km;cm;100000

m;m;1
m;km;0,001
m;cm;100

cm;cm;1
cm;km;0,00001
cm;m;0,01

t;t;1
t;kg;1000
t;g;1000000
t;mg;1000000000

kg;kg;1
kg;t;0,001
kg;g;1000
kg;mg;1000000

g;g;1
g;t;0,000001
g;kg;0,001
g;mg;1000

mg;mg;1
mg;t;0,000000001
mg;kg;0,000001
mg;g;0,001





